subject,n_events,n_filings,n_stocks,share_tradable_at_open,share_overlapping_60m,mean_r_5m,median_r_5m,mean_adj_r_5m,median_adj_r_5m,share_positive_adj_r_5m,mean_r_30m,median_r_30m,mean_adj_r_30m,median_adj_r_30m,share_positive_adj_r_30m,mean_r_60m,median_r_60m,mean_adj_r_60m,median_adj_r_60m,share_positive_adj_r_60m,mean_r_to_close,median_r_to_close,mean_adj_r_to_close,median_adj_r_to_close,share_positive_adj_r_to_close,mean_r_1d,median_r_1d,mean_adj_r_1d,median_adj_r_1d,share_positive_adj_r_1d,mean_r_3d,median_r_3d,mean_adj_r_3d,median_adj_r_3d,share_positive_adj_r_3d,mean_r_5d,median_r_5d,mean_adj_r_5d,median_adj_r_5d,share_positive_adj_r_5d,mean_r_10d,median_r_10d,mean_adj_r_10d,median_adj_r_10d,share_positive_adj_r_10d,mean_r_20d,median_r_20d,mean_adj_r_20d,median_adj_r_20d,share_positive_adj_r_20d,median_abs_adj_r_60m,abs_r_60m_ci_low,abs_r_60m_ci_high,mean_abs_adj_r_60m,baseline_abs_r_60m,median_vol_ratio_5m,median_vol_ratio_60m,mean_vol_ratio_60m,vol_ratio_60m_ci_low,vol_ratio_60m_ci_high,median_vol_ratio_d0,median_rv_ratio_60m,median_range_ratio_60m,return_multiple_of_baseline,strong_size,strong_volume,strong_evidence,strong_impact,inference_supported
Financial Results,57,199,5,0.7543859649122807,0.5614035087719298,0.0015169654960387293,0.004435673995424549,0.000707038753370776,0.004348803414503721,0.543859649122807,-0.0017639691500234652,0.00047400853215373573,-0.0029061909203626063,-0.0005995869148871791,0.49122807017543857,-0.002126336952507216,0.0003762793497892325,-0.003958154331530839,-0.0022456422466090864,0.43859649122807015,-0.004580994536293845,-0.004533580284454386,-0.006707673448559791,0.0003333333389723414,0.5087719298245614,-0.007368000689394586,-0.0030501717222661817,-0.010556484418983283,-0.008675332503963323,0.45614035087719296,-0.0004975563526956879,-0.006392694063926951,-0.004076371866624428,0.000934860921252112,0.5087719298245614,0.002625168483435297,0.006349206349206327,-0.0018635370248427515,0.0017393728700900446,0.5087719298245614,-0.00030004128015611084,-0.010625180928282796,-0.003777709423405325,-0.0165806816436552,0.43859649122807015,0.01199480819865131,-0.012531120359238423,-0.00565146213106434,-0.013681296545120167,0.40350877192982454,0.01670953568701683,0.009606089269888707,0.02354895846154434,0.020182141616062577,0.0055281306715063705,8.037468538557624,4.072770909373086,6.966308050216653,2.7571880471824306,5.581396193331846,2.120957432281112,3.1003635710221156,2.306260394273253,3.0226376111445314,True,True,True,True,True
Order Win,117,167,2,0.8205128205128205,0.20512820512820512,0.012166315926705262,0.009798010250226197,0.011372284245979506,0.008170033293046636,0.7948717948717948,0.011983932503082195,0.006142506142506221,0.011196921428747685,0.004748404809175655,0.7094017094017094,0.012014992266791586,0.005847953216374213,0.011010394007215965,0.00552238675411626,0.6752136752136753,0.00874772323583242,0.004497751124437732,0.007813218561128748,0.002239535914694446,0.5555555555555556,0.010063132561712285,0.0026840490797546135,0.008060500071933787,0.0008346013934256713,0.5213675213675214,0.01659728945448064,0.005312868949232552,0.014138764327028224,0.00018085848972887453,0.5042735042735043,0.01765618645425902,0.003202966958867126,0.01383769399627757,-0.00496969558772048,0.4444444444444444,0.02432749079382923,-0.011023622047244053,0.016391651537590698,-0.01330414319578746,0.4358974358974359,0.04849982674138158,0.006459597898571312,0.02885882726789714,-0.017791685313440678,0.46153846153846156,0.010029077191613084,0.005995259313414214,0.013150634095403846,0.016471051222481076,0.009595329125831387,2.2073964100422665,1.5469273976959304,2.3367927556619406,1.371855528928449,1.8776138152201178,1.2654041220523835,1.2226915240551992,1.0626439495630653,1.045204084205305,False,False,False,False,True
Other / Unclassified,224,265,5,0.8214285714285714,0.36160714285714285,0.0029138285344647583,0.001120652120349841,0.0014258338501180533,0.00024796604006460665,0.5089285714285714,0.00204513159466983,0.0008305636395705696,0.0003913139826110266,-0.00018690097086630775,0.48214285714285715,0.002527912017734228,0.001807245311777006,0.000529547498028922,0.00023414405399013738,0.5178571428571429,0.0016673590711995395,0.0002549412103476367,-0.0005540004615262872,-0.0012422377679711938,0.4642857142857143,0.001708665220433728,0.001051876156468845,-0.0005208008605980583,-0.0019509414292948335,0.4732142857142857,0.0053692526234543365,0.0025274356448625745,0.0013749109541129907,-0.003500796307038742,0.4642857142857143,0.00987635588946408,0.0036046696932434674,0.0032014224947150517,0.000440531672582789,0.5044642857142857,0.013477360496182098,0.0021814358673779566,0.0016972163922290998,-0.0029882559681097126,0.4642857142857143,0.012251650311520717,0.0004848484848485324,-0.003865992516386739,-0.007533790890816183,0.45982142857142855,0.007622498063789784,0.006493026151092263,0.008721963055399642,0.010593309296991439,0.005281891591513932,1.1884612714050808,1.153687115722129,1.7487276789743664,1.0645175016215886,1.2734811877660726,1.0731717415885087,1.0807149094604438,1.1050682636085347,1.4431379235492736,False,False,True,False,True
M&A / Strategic,106,138,5,0.8962264150943396,0.3584905660377358,0.004499704084331687,0.0025235542056653015,0.0022718370379304575,0.0002531832649532717,0.5188679245283019,0.0047176483046677984,0.0026926268217561944,0.002439278552156234,0.00032843217620492915,0.5283018867924528,0.005162125333074198,0.002987432765050091,0.002751701373541459,9.142625242397617e-05,0.5094339622641509,0.006823421394606243,0.003892673198838237,0.0036197715392103486,-0.000695114151339063,0.4716981132075472,0.009717175546304045,0.004792014421027613,0.0034985432821721656,-0.0034831808820166843,0.44339622641509435,0.013747353874872957,0.005518033603675976,0.008467776838461614,0.004035172982865681,0.5283018867924528,0.012494331909790287,0.0038673167365974592,0.0024776841647356873,0.0004982245330869828,0.5094339622641509,0.015183385262589447,0.0003957104723329996,0.006573405582201141,-0.005287385117068152,0.4528301886792453,0.021410361070716012,0.005387205387205496,0.002899517403363462,-0.008783238418387185,0.46226415094339623,0.00738427588229687,0.0059843228633469775,0.009722171472010765,0.012221181498278024,0.005084460836823013,1.3562524102511992,1.306111954371924,2.3233271808722376,1.1000588800367495,1.5122175796521604,1.2500881122918286,1.2157789079722385,1.2135660081763375,1.4523223050157035,False,False,True,False,True
Board Meeting Intimation,74,96,5,0.7567567567567568,0.24324324324324326,0.0013099547791547532,0.0005293835618448428,0.0006135560364799014,0.00011784888587526576,0.527027027027027,0.0005638010481250208,0.0005686411908560896,0.0005637158001376929,-0.0001031903706551901,0.4864864864864865,0.00031085770989865857,0.0004511012302378381,0.0007289457824062513,-0.0006259737883239219,0.4864864864864865,0.004236294496553009,0.0006089920557228456,0.003939811773965915,0.00108206554752463,0.5540540540540541,0.0016873493566173798,0.00025150538227186603,0.0020509934886501512,0.00022435979874942114,0.5135135135135135,0.003054502260183421,0.0016967296605057136,0.002380839513398062,0.004104164235328861,0.5405405405405406,0.0025218475319786224,0.002217735765574491,-0.002126125655749109,-0.0024591593299396197,0.4864864864864865,0.008869000895223184,0.0024016669103670285,0.002661484157677677,-0.010127992220685306,0.47297297297297297,0.011617434576289446,-0.008999772157666897,-0.002762305093183641,-0.007191995203587542,0.47297297297297297,0.0068912063628444875,0.004354557779640333,0.009438624826847597,0.010962260549899811,0.005668540721052939,0.9961146216764751,1.0391821215412789,1.5722339970810892,0.863606857377629,1.162475012522998,1.0731111618602065,1.0898434785959084,1.083743849237799,1.2156931919445462,False,False,False,False,True
Investor Communication,254,543,5,0.8385826771653543,0.09448818897637795,0.001171982972207346,0.0005750859132438446,-0.0009229403745210133,-0.00092749988596455,0.421259842519685,0.000537415220524627,0.00038345128711703147,-0.0004361056953626422,-0.000626096418598357,0.452755905511811,0.000297281823744674,3.634513338657275e-05,-0.00041677976803250645,-0.00018536569589275298,0.4881889763779528,-0.0006719783449474084,-0.0004009325548257614,-0.0008424636097508141,-0.0013879433462402474,0.452755905511811,-0.00021578339627210876,-0.0008061556727792518,-0.001777718139742329,-0.0020250778991468543,0.44881889763779526,0.0022485013465888964,0.0012376237623761277,0.0007899800672827435,-0.0017655751847209245,0.4566929133858268,0.006792796460978099,0.002358893713035437,0.001372987582775419,-0.004323599784981258,0.4409448818897638,0.014341142705695597,0.007891731656572754,0.002933616911519082,-0.0025549729335053867,0.46062992125984253,0.018702781963136832,0.005661536611376583,-0.006930689390446933,-0.011277649220047453,0.4094488188976378,0.006099222081105221,0.004987266230219417,0.006826371641657114,0.009146761504676311,0.004750549503352297,1.0452280986256968,1.010380599130397,1.5352368794273379,0.9103871270252075,1.0953275321372975,0.9926492514575573,1.0028727056725628,1.0215099469222853,1.283898226258081,False,False,True,False,True
Capital & Corporate Action,155,208,5,0.7548387096774194,0.2709677419354839,0.0012575328153079258,0.00014556040756907862,-0.0009095412071080047,-0.00030893890864369666,0.47096774193548385,0.0008329028788087909,0.0005047955577990315,-0.0007863952989413257,-0.00021809635995834187,0.49032258064516127,0.0008022905009039059,0.0001317870321559944,-0.0011225057160476283,-0.00014164052359441626,0.4838709677419355,1.107678467320581e-05,-0.0005599104143336753,-0.002445655083243287,-0.001528206679307309,0.45161290322580644,0.0011255556776266346,0.00254777070063672,-0.0006730632548808232,0.0013075412733653535,0.5290322580645161,0.0013749437416180929,0.001115103456820643,-0.002818916580348828,-0.005551537626052205,0.432258064516129,0.0014686841261753324,0.0008660150934058919,-0.0048710629750811345,-0.005442920361370673,0.4129032258064516,0.006793061720037922,-0.0007536948180459913,-0.006561676332363518,-0.004051257764361299,0.47096774193548385,0.008722427026428326,0.001794139214772117,-0.014692628192007682,-0.015582256952494822,0.4129032258064516,0.005961064347306033,0.004500662137507189,0.00720396822762559,0.008632690703596796,0.004245556628156455,1.0693262227882359,0.9682417064226457,1.3369150125740192,0.9118425218544396,1.0952502462521125,0.9981583082628681,1.0245703053539756,1.0071479430203807,1.4040713313708648,False,False,True,False,True
Routine Filing,379,613,5,0.7941952506596306,0.23482849604221637,0.0005765260597286213,0.00019960079840308786,-0.001018021054967841,-0.00045893391345572243,0.44854881266490765,0.0010669345769622634,0.0006206896551723684,-0.00038210242528476026,-0.00025388212292637435,0.47493403693931396,0.0010941833520094508,0.0009887284951553,-0.00034044758799807483,-0.00043182223485360716,0.48021108179419525,0.0016113833446655909,0.0007349338559530239,-0.0005769346538593182,-0.00015368851200947553,0.49076517150395776,0.0008088143104959196,0.0008136696501219731,-0.001610649480015376,-0.0026760450764005683,0.45646437994722955,0.0022643214715742147,0.0016986410871302482,-0.0036338435486526076,-0.0038032727532414656,0.45646437994722955,0.0025029957546875213,0.00204902764324566,-0.006266383389454471,-0.006202485242120193,0.42744063324538256,0.004168265020684095,-0.0009424319299354278,-0.01265038456999667,-0.014907706336356893,0.41160949868073876,0.007855116374145679,0.0008485362749257597,-0.022222200330039014,-0.02573598425773313,0.32717678100263853,0.005629802460360461,0.005094351545923664,0.006818280323582171,0.008634236492017635,0.0047276500335687865,1.032238307349666,1.0051734088446191,1.3356770938946438,0.9376690643018507,1.105256153689703,0.9933273381758895,1.0245703053539756,1.0020420693890053,1.1908247058022317,False,False,True,False,True
Management & Board Change,153,197,5,0.7777777777777778,0.35294117647058826,0.0005946472902589586,0.0006879471656577874,7.29168443251329e-05,-0.0002538400480237013,0.45751633986928103,0.0007071920013994738,2.751788662624932e-05,0.0003983405875098675,-0.00011453075087167197,0.48366013071895425,0.00027272141647226745,-0.00031142946122708626,7.61054292518362e-05,-0.0010923989227298314,0.43790849673202614,-0.0004848013312346837,-0.001055612770339831,-0.0014733976750444843,-0.0015013312017615188,0.40522875816993464,0.0001538715797357943,-0.0009618467457517266,-0.0007428965024166964,-0.0034312573774113175,0.45098039215686275,0.0029078395997462116,0.0026615613163298857,0.0010054295480789565,-0.0005526494218381778,0.49019607843137253,0.0019040851784871977,0.0005582848275010877,-0.0024598259394020654,-0.0009878061879040334,0.49019607843137253,0.005043296354703833,0.0007505326341123997,-0.0060391276886434106,-0.0029097922618033095,0.46405228758169936,0.00426747125673383,-0.01172015676783733,-0.01371274740133907,-0.017755977277693374,0.37254901960784315,0.005377952910105455,0.004610218448358877,0.006906120645122249,0.009590828685125457,0.0060074080466322455,1.0228433686185647,0.9937439730750081,1.7489717558101257,0.8348490320618481,1.1815634457813537,0.9547581801689823,1.0426776275980305,0.9903150373471282,0.8952201795448765,False,False,False,False,True
Credit Rating,33,34,5,0.8484848484848485,0.42424242424242425,-0.0003220236750241203,0.0007502374169039427,-0.0009795367946530585,-0.00018815319658960217,0.48484848484848486,0.0004349653257341847,0.0006042296072508169,-0.0011252822572276745,-0.00032433199379308664,0.45454545454545453,0.0016873328371822033,0.0009373422741365545,0.0009991011799655128,-0.00018671318761082079,0.45454545454545453,0.0019438980305526894,0.0013152804642166949,0.0008702596617414978,0.0019449754238648198,0.5454545454545454,-0.00027229808127694386,0.0,-0.0007307535987400355,0.00048233726005475486,0.5454545454545454,0.0007868146661937611,0.003558241020476638,6.504613064790538e-05,0.0002190748546158361,0.5151515151515151,0.0027705779122944533,0.00040281973816713723,-0.0025259055410082037,-0.00971105401181524,0.42424242424242425,-0.005409206183493437,0.00010087763542832029,-0.017061508985310427,-0.018598484534669668,0.36363636363636365,0.021360575618556654,0.024046719340432787,-0.011119373835731364,-0.010678647737588254,0.48484848484848486,0.0051764176619822355,0.004267914888836544,0.007204251973631726,0.008850921999259957,0.005232666282843745,0.7469509400292123,0.7956788774602381,1.0575085875387602,0.6454898743610192,1.067117845706084,0.8388723553056276,0.974628810113297,0.8779908505914388,0.9892504857330705,False,False,False,False,True
