group_a,group_b,n_a,n_b,z,p_raw,p_bh,significant
Financial Results,Routine Filing,57,379,5.3385759977767036,9.367943808259814e-08,3.3065507857090215e-06,True
Financial Results,Investor Communication,57,254,5.293133298906637,1.2023821038941897e-07,3.3065507857090215e-06,True
Capital & Corporate Action,Financial Results,155,57,-4.951294108967409,7.372158903938649e-07,1.3515624657220857e-05,True
Financial Results,Management & Board Change,57,153,4.730621521628977,2.238334887898354e-06,3.077710470860237e-05,True
Clarification,Financial Results,28,57,-4.365968155819286,1.2656091853685559e-05,0.00013921701039054115,True
Financial Results,Other / Unclassified,57,224,3.9732736727468767,7.089151772676883e-05,0.0006498389124953809,True
Board Meeting Intimation,Financial Results,74,57,-3.853645477114824,0.00011637206545749824,0.0009143519428803435,True
Credit Rating,Financial Results,33,57,-3.8072629698572347,0.000140513307809245,0.0009660289911885595,True
Order Win,Routine Filing,117,379,3.6082794115545465,0.0003082344307545807,0.0018836548546113266,True
Investor Communication,Order Win,254,117,-3.5708218197312958,0.00035586292407873863,0.0019572460824330623,True
Financial Results,M&A / Strategic,57,106,3.3838830504887274,0.0007146843809795795,0.0035734219048978973,True
Capital & Corporate Action,Order Win,155,117,-3.1858975242261285,0.0014430570165291003,0.006614011325758377,True
Clarification,Order Win,28,117,-2.9981440403404607,0.002716292600285334,0.011492007155053337,True
Management & Board Change,Order Win,153,117,-2.909118213206288,0.0036244978113110283,0.014239098544436184,True
Credit Rating,Order Win,33,117,-2.313459946816183,0.020697364461721147,0.07114719033716645,False
Financial Results,Order Win,57,117,2.3327762204819376,0.019659893356907085,0.07114719033716645,False
Clarification,M&A / Strategic,28,106,-2.126145432313468,0.033491152013569586,0.10835372710272513,False
Clarification,Other / Unclassified,28,224,-2.0859758467249994,0.03698081099178543,0.11299692247489992,False
Investor Communication,Other / Unclassified,254,224,-2.0329738173167744,0.04205516831427612,0.11565171286425933,False
Board Meeting Intimation,Order Win,74,117,-2.035485503592838,0.0418020457168481,0.11565171286425933,False
Other / Unclassified,Routine Filing,224,379,2.0050561713744175,0.04495704230860906,0.11774463461778562,False
Investor Communication,M&A / Strategic,254,106,-1.9023993397316565,0.05711896728529986,0.14279741821324965,False
Order Win,Other / Unclassified,117,224,1.864124616526673,0.062304206352257537,0.14898831953800717,False
M&A / Strategic,Routine Filing,106,379,1.8441247095321593,0.0651649676160023,0.14933638412000527,False
Capital & Corporate Action,Other / Unclassified,155,224,-1.699267006022032,0.08926888625731899,0.1963915497661018,False
Capital & Corporate Action,M&A / Strategic,155,106,-1.6755147998994073,0.09383326975627891,0.19849345525366693,False
Board Meeting Intimation,Clarification,74,28,1.4802780488366083,0.1387990588712086,0.2827388236265361,False
Management & Board Change,Other / Unclassified,153,224,-1.3790871140247658,0.16786789637548205,0.3077578100217171,False
M&A / Strategic,Management & Board Change,106,153,1.4107694487669376,0.15831260560233296,0.3077578100217171,False
Credit Rating,M&A / Strategic,33,106,-1.389564852384078,0.16466105494295025,0.3077578100217171,False
Clarification,Management & Board Change,28,153,-1.3305074284115208,0.18335114048651047,0.3151347727111899,False
M&A / Strategic,Order Win,106,117,-1.3348536154076547,0.1819242615751705,0.3151347727111899,False
Credit Rating,Other / Unclassified,33,224,-1.3051450932777475,0.19184344641077367,0.3197390773512895,False
Clarification,Routine Filing,28,379,-1.272184149351169,0.20330769805105076,0.32888009978846444,False
Clarification,Investor Communication,28,254,-1.1640143326095995,0.24441820346218468,0.37341669973389324,False
Capital & Corporate Action,Clarification,155,28,1.1716343922507015,0.24134387388626344,0.37341669973389324,False
Board Meeting Intimation,M&A / Strategic,74,106,-0.8141544391142318,0.4155564823615775,0.6177190954023449,False
Board Meeting Intimation,Investor Communication,74,254,0.7316282870300069,0.46439547804180004,0.6549166998025385,False
Board Meeting Intimation,Credit Rating,74,33,0.7341070221619173,0.462883514096328,0.6549166998025385,False
Clarification,Credit Rating,28,33,-0.6801945741884169,0.49638126744183664,0.6754803157371971,False
Board Meeting Intimation,Other / Unclassified,74,224,-0.668930408134496,0.5035398717313652,0.6754803157371971,False
Board Meeting Intimation,Routine Filing,74,379,0.6238961544598257,0.5326957859608222,0.683189450053435,False
Board Meeting Intimation,Capital & Corporate Action,74,155,0.6217140160700505,0.5341299336781401,0.683189450053435,False
Credit Rating,Management & Board Change,33,153,-0.5143198314120478,0.6070283987803976,0.7587854984754969,False
Investor Communication,Management & Board Change,254,153,-0.40745649997444633,0.6836727370754629,0.8167597080799245,False
Board Meeting Intimation,Management & Board Change,74,153,0.3880780217183784,0.6979582959955718,0.8167597080799245,False
Credit Rating,Routine Filing,33,379,-0.40978315810991034,0.6819650218724256,0.8167597080799245,False
Capital & Corporate Action,Credit Rating,155,33,0.34331835243638176,0.7313589756800323,0.8361873562498295,False
M&A / Strategic,Other / Unclassified,106,224,0.2853529757495628,0.775373730340751,0.8361873562498295,False
Credit Rating,Investor Communication,33,254,-0.3081367712398169,0.7579782621742915,0.8361873562498295,False
Capital & Corporate Action,Management & Board Change,155,153,-0.28866048139520345,0.7728412071309189,0.8361873562498295,False
Management & Board Change,Routine Filing,153,379,0.2541256443644181,0.7993984922023751,0.8455176359832814,False
Investor Communication,Routine Filing,254,379,-0.21404744375452617,0.8305100596755882,0.8618500619274972,False
Capital & Corporate Action,Investor Communication,155,254,0.08635261736085705,0.931186112038477,0.931186112038477,False
Capital & Corporate Action,Routine Filing,155,379,-0.08973546069013462,0.9284974360485934,0.931186112038477,False
