subject,n [all events],median_abs_r_60m [all events],median_vol_ratio [all events],n [no overlap],median_abs_r_60m [no overlap],median_vol_ratio [no overlap],n [winsorised 1/99],median_abs_r_60m [winsorised 1/99],median_vol_ratio [winsorised 1/99]
Board Meeting Intimation,74.0,0.0068912063628444875,1.0391821215412789,56.0,0.004946147646265997,1.0469285852994887,74.0,0.0068912063628444875,1.0391821215412789
Board Meeting Outcome,3.0,0.0030126423384623513,1.6674317907963796,1.0,0.002195661527383014,0.5634182113282994,3.0,0.0030126423384623513,1.6674317907963796
Capital & Corporate Action,155.0,0.005961064347306033,0.9682417064226457,113.0,0.004725215638667651,0.9182595526296228,155.0,0.005961064347306033,0.9682417064226457
Clarification,28.0,0.004389882765535008,1.6549904498708732,22.0,0.0040303972283604605,1.54018600427404,28.0,0.004389882765535008,1.6549904498708732
Credit Rating,33.0,0.0051764176619822355,0.7956788774602381,19.0,0.004349911894322267,0.6941151576926307,33.0,0.0051764176619822355,0.7956788774602381
Financial Results,57.0,0.01670953568701683,4.072770909373086,25.0,0.012920245922727114,3.902424012138058,57.0,0.01670953568701683,4.072770909373086
Investor Communication,254.0,0.006099222081105221,1.010380599130397,230.0,0.006012314274901884,1.0016983757228577,254.0,0.006099222081105221,1.010380599130397
M&A / Strategic,106.0,0.00738427588229687,1.306111954371924,68.0,0.006104815874571928,1.212099492746656,106.0,0.00738427588229687,1.306111954371924
Management & Board Change,153.0,0.005377952910105455,0.9937439730750081,99.0,0.005087260548688188,0.8147821424335794,153.0,0.005377952910105455,0.9937439730750081
Order Win,117.0,0.010029077191613084,1.5469273976959304,93.0,0.009103458022805044,1.498236726067914,117.0,0.010029077191613084,1.5469273976959304
Other / Unclassified,224.0,0.007622498063789784,1.153687115722129,143.0,0.006677787230372212,1.147926520395367,224.0,0.007622498063789784,1.153687115722129
Routine Filing,379.0,0.005629802460360461,1.0051734088446191,290.0,0.005215581057155527,0.9966740479288984,379.0,0.005629802460360461,1.0051734088446191
__Kruskal-Wallis [all events]__,1580.0,2.2135626509727106e-07,0.02577539567136637,,,,,,
__Kruskal-Wallis [no overlap]__,,,,1158.0,0.0023009662573419084,0.01511707805735424,,,
__Kruskal-Wallis [winsorised 1/99]__,,,,,,,1580.0,2.2091414022579918e-07,0.02577840044617459
