symbol,subject,n_events,median_abs_adj_r_60m,mean_abs_adj_r_60m,ci_low,ci_high,median_adj_r_60m,share_positive_60m,median_vol_ratio_60m,median_rv_ratio_60m,median_adj_r_to_close,inference_supported
HAL,ALL SUBJECTS,217,0.0050869831898121,0.00876860795902643,0.004221507643338784,0.006504753621045828,0.0015984295102882407,0.576036866359447,1.1420248318694848,1.070299380408658,0.0004477761924022161,True
HAL,Management & Board Change,50,0.004153806861750112,0.006319464433814537,0.0033134155894183476,0.0053564198898813226,0.0016402203953979622,0.56,0.8023444183340529,0.9235005801056322,-0.0003137774261467302,True
HAL,Other / Unclassified,45,0.006677787230372212,0.009392041438108945,0.004058543417632482,0.00996216263578481,0.0021940609156516355,0.6222222222222222,1.1820707671701434,1.0792464316716146,0.0028778025994713463,True
HAL,Routine Filing,26,0.004260041539257672,0.006918012897356477,0.002700329453425715,0.00701396337926441,-0.0006759607933716771,0.46153846153846156,0.9052153769082378,0.9418224169494818,-0.0020770323178809225,True
HAL,Investor Communication,23,0.003296983431320011,0.011676834545958142,0.002220752846256807,0.007871812903952474,0.0010602935967574667,0.5217391304347826,1.0507688558100883,1.1014460947033369,-0.001093564566367916,True
HAL,Board Meeting Intimation,17,0.005194925451031229,0.011085449509873705,0.0027250499958199337,0.010968466805547666,-0.0016085849249857787,0.4117647058823529,1.1051144189003073,1.2127375213111529,-0.0027250499958199337,True
HAL,Capital & Corporate Action,15,0.004725215638667651,0.007764321523378855,0.004222168599167991,0.0101038351745113,-0.0010582250849063557,0.4666666666666667,0.812909192752094,1.1058568066881531,0.00045398647368863343,True
HAL,Order Win,13,0.009618030507916181,0.010486018734432927,0.002239535914694446,0.010702502582357498,0.009618030507916181,0.9230769230769231,2.1574723730404437,1.5693217775644084,0.0026794758621810355,True
HAL,Financial Results,11,0.01570436954716986,0.015900561555824727,0.006607937097172278,0.022503621815547686,0.012834780319554095,0.7272727272727273,9.47517293204108,5.145841838071075,0.004579937525448469,True
HAL,Clarification,10,0.0023914231436933525,0.004308951660873969,0.0008402267980179567,0.007773808708976621,0.000813778972891685,0.6,2.272427780788876,1.3684442073086265,-0.0031736043642076467,True
HAL,Credit Rating,5,0.0051764176619822355,0.005839140491504874,0.001100562833863783,0.010627486798234526,0.0051764176619822355,0.8,1.278224926286904,0.9461100616868029,0.006281552479610819,False
HAL,Board Meeting Outcome,1,0.002195661527383014,0.002195661527383014,,,-0.002195661527383014,0.0,0.5634182113282994,0.5584267696181143,-0.00656959452259448,False
HAL,M&A / Strategic,1,0.025114545040917452,0.025114545040917452,,,0.025114545040917452,1.0,4.282389030547136,1.9660391505931285,0.0130571028518629,False
